"ID","Grupo Muscular","Ejercicio","Nivel","Equipamiento","Descripción"
"1","Pectorales","Apertura pectoral con banda","Principiante","Banda elástica","Sostener banda a altura del pecho, separar brazos hacia los lados"
"2","Pectorales","Aperturas inclinadas","Intermedio","Mancuernas","Mismo movimiento que aperturas planas pero en banco inclinado"
"3","Pectorales","Aperturas planas con mancuernas","Principiante-Intermedio","Mancuernas","Brazos abiertos, bajar mancuernas en arco hasta sentir estiramiento"
"4","Pectorales","Chest fly TRX","Intermedio","TRX","Inclinado hacia adelante, abrir brazos en cruz"
"5","Pectorales","Cruces con poleas","Intermedio","Cable","De pie entre poleas altas, brazos extendidos, juntar manos adelante del pecho"
"6","Pectorales","Cruces en máquina (pec deck)","Principiante-Intermedio","Máquina","Sentado, brazos en almohadillas, juntar brazos adelante contrayendo pectorales"
"7","Pectorales","Flexiones con banda elástica","Intermedio","Banda elástica","Banda en espalda, añade resistencia a flexiones tradicionales"
"8","Pectorales","Flexiones con palmada","Intermedio","Peso corporal","Flexión explosiva, al subir empujar con fuerza para despegar manos y dar palmada"
"9","Pectorales","Flexiones declinadas","Intermedio-Avanzado","Peso corporal","Pies elevados en banco/caja, flexiones enfocando parte superior del pecho"
"10","Pectorales","Flexiones diamante","Intermedio-Avanzado","Peso corporal","Manos formando diamante, flexiones con énfasis en tríceps y pecho interno"
"11","Pectorales","Flexiones tradicionales","Principiante","Peso corporal","Posición de plancha,  manos ancho de hombros"
"12","Pectorales","Press declinado con barra","Intermedio","Barra","Banco declinado, bajar barra al pecho inferior y empujar"
"13","Pectorales","Press de banca con mancuernas","Principiante-Intermedio","Mancuernas","Igual que con barra pero permite mayor rango de movimiento y trabajo unilateral"
"14","Pectorales","Press de banca plano con barra","Principiante-Intermedio","Barra","Acostado en banco plano, agarre ligeramente más ancho que hombros, bajar barra al pecho y empujar hacia arriba"
"15","Pectorales","Press de pecho con cables","Intermedio","Cable","Con poleas a altura baja, empujar desde posición de estocada hacia adelante y arriba"
"16","Pectorales","Press en máquina","Principiante","Máquina","Sentado en máquina, empujar manijas hacia adelante"
"17","Pectorales","Press inclinado con barra","Intermedio","Barra","En banco inclinado 30-45°, mismo movimiento que press plano"
"18","Pectorales","Press inclinado con mancuernas","Intermedio","Mancuernas","Banco inclinado, mancuernas desde pecho hacia arriba y afuera"
"19","Pectorales","Pullover con mancuerna","Intermedio","Mancuernas","Acostado perpendicular al banco, bajar mancuerna por detrás de cabeza"
"20","Dorsales","Dominadas australianas","Principiante","Barra","Inclinado bajo barra baja, tirar pecho hacia barra manteniendo cuerpo recto"
"21","Dorsales","Dominadas pronas","Intermedio-Avanzado","Barra","Agarre prono más ancho que hombros, tirar cuerpo hasta que el pecho toque la barra"
"22","Dorsales","Dominadas supinas (chin-ups)","Principiante-Intermedio","Barra","Agarre supino (palmas hacia ti), énfasis en bíceps y dorsales"
"23","Dorsales","Jalón al pecho con agarre ancho","Principiante-Intermedio","Cable","Sentado, tirar barra hacia pecho superior contrayendo dorsales"
"24","Dorsales","Jalón con agarre cerrado","Intermedio","Cable","Tirar agarre hacia pecho con codos pegados al cuerpo"
"25","Dorsales","Jalón tras nuca","Intermedio","Cable","Tirar barra por detrás de la cabeza hasta altura de nuca"
"26","Dorsales","Muscle-up","Avanzado","Barra","Dominada + fondo en barras en un movimiento continuo"
"27","Dorsales","Peso muerto","Intermedio-Avanzado","Barra","Desde el suelo, levantar la barra manteniendo espalda recta y empujando caderas hacia adelante"
"28","Dorsales","Pullover en polea alta","Intermedio","Cable","De pie, brazos extendidos, tirar barra desde arriba hacia muslos"
"29","Dorsales","Remo con barra inclinado","Intermedio-Avanzado","Barra","Tronco inclinado ~45°, tirar barra hacia abdomen superior, codos cerca del cuerpo"
"30","Dorsales","Remo con mancuerna a una mano","Principiante-Intermedio","Mancuernas","Apoyando una mano y rodilla en banco, tirar mancuerna hacia cadera, llevando codo hacia atrás"
"31","Dorsales","Remo en T-bar","Intermedio","Barra","Inclinado sobre barra en T, tirar hacia pecho manteniendo codos cerca del cuerpo"
"32","Dorsales","Remo en máquina sentado","Principiante","Máquina","Sentado, tirar manijas hacia abdomen retrayendo escápulas"
"33","Dorsales","Remo en polea baja","Principiante-Intermedio","Cable","Sentado, tirar cable hacia abdomen manteniendo espalda recta"
"34","Espalda","Encogimientos de hombros","Principiante","Barra","Elevar hombros hacia orejas, mantener y bajar controladamente"
"35","Espalda","Face pulls","Principiante-Intermedio","Cable","Polea a altura de la cabeza, tirar de la cuerda hacia la cara separando los extremos"
"36","Espalda","Good mornings","Intermedio","Barra","Barra en hombros, flexionar cadera manteniendo espalda recta"
"37","Espalda","Hiperextensiones","Intermedio","Máquina","En banco romano, flexionar cadera bajando el torso, luego subir contrayendo erectores espinales"
"38","Espalda","Remo invertido","Intermedio","Barra","Suspendido boca arriba bajo una barra, tirar pecho hacia la barra manteniendo el cuerpo recto"
"39","Espalda","Remo con barra agarre supino","Intermedio","Barra","Igual que el remo inclinado, pero con palmas mirando hacia arriba (agarre invertido)"
"40","Espalda","Retracción escapular con banda","Principiante","Banda elástica","Brazos extendidos al frente, juntar escápulas atrás estirando la banda"
"41","Espalda","Superman","Principiante","Peso corporal","Boca abajo, elevar simultáneamente brazos y piernas contrayendo la espalda baja"
"42","Espalda","Bird dog","Principiante","Peso corporal","En posición cuadrúpeda, extender brazo y pierna opuestos manteniendo la espalda neutra"
"43","Hombros","Elevación lateral con banda","Principiante","Banda elástica","Pisar la banda, elevar el brazo lateralmente hasta la altura del hombro"
"44","Hombros","Elevaciones en Y","Intermedio","Mancuernas ligeras","Tronco inclinado hacia adelante, elevar brazos formando una Y con el cuerpo"
"45","Hombros","Elevaciones frontales","Principiante","Mancuernas","Brazos extendidos, elevar el peso al frente hasta la altura de los hombros"
"46","Hombros","Elevaciones laterales","Principiante","Mancuernas","Brazos ligeramente flexionados, elevar mancuernas a los lados hasta la altura de los hombros"
"47","Hombros","Elevaciones laterales con cable","Principiante","Cable","Con polea baja, elevar el brazo lateralmente hasta la altura del hombro"
"48","Hombros","Elevaciones laterales en polea","Intermedio","Cable","Polea baja, elevar el brazo lateralmente hasta la altura del hombro"
"49","Hombros","Elevaciones posteriores con mancuernas","Principiante-Intermedio","Mancuernas","Tronco inclinado hacia adelante, abrir brazos hacia los lados contrayendo deltoides posterior"
"50","Hombros","Flexiones de pino/handstand push-ups","Avanzado","Pared","En posición invertida con pies apoyados en pared, flexionar brazos hasta tocar la cabeza al suelo, luego extender"
"51","Hombros","Press Arnold","Intermedio","Mancuernas","Desde posición de curl martillo frente al rostro, rotar y empujar mancuernas hacia arriba hasta estirar brazos"
"52","Hombros","Press con kettlebell","Intermedio","Kettlebell","Desde posición de rack (kettlebell a la altura del hombro), presionar kettlebell sobre la cabeza"
"53","Hombros","Press cubano","Avanzado","Mancuernas","Combinación de remo vertical (tirón), rotación externa de hombros y press overhead"
"54","Hombros","Press en máquina","Principiante","Máquina","Sentado en máquina de hombros, empujar las manijas hacia arriba hasta extender brazos"
"55","Hombros","Press militar de pie","Intermedio-Avanzado","Barra","De pie, barra apoyada en la parte frontal de hombros, empujar barra hacia arriba extendiendo brazos"
"56","Hombros","Press de hombros con mancuernas","Principiante-Intermedio","Mancuernas","Sentado con respaldo (o de pie), empujar mancuernas desde los hombros hacia arriba hasta estirar brazos"
"57","Hombros","Press tras nuca","Intermedio","Barra","Barra sostenida detrás de la cabeza a la altura de orejas, presionar hacia arriba sin bajar demasiado"
"58","Hombros","Remo vertical","Intermedio","Barra","De pie, tirar barra hacia arriba pegada al cuerpo hasta llegar a la altura del mentón, elevando codos"
"59","Bíceps","Curl 21s","Avanzado","Barra","7 repeticiones de curl parciales (hasta 90°) + 7 repeticiones de 90° a completo + 7 repeticiones completas"
"60","Bíceps","Curl araña","Intermedio","Barra","Apoyar pecho contra un banco inclinado, brazos colgando verticales, flexionar codos llevando barra hacia la cara"
"61","Bíceps","Curl concentrado","Intermedio","Mancuerna","Sentado, apoyar el codo en el muslo interno, flexión lenta y controlada de la mancuerna"
"62","Bíceps","Curl con banda elástica","Principiante","Banda elástica","Pisar la banda, flexionar codos contra la resistencia de la banda"
"63","Bíceps","Curl con barra de pie","Principiante","Barra","De pie, agarre supino, flexionar codos llevando la barra hacia los hombros"
"64","Bíceps","Curl con cable y cuerda","Principiante","Cable","De pie frente a polea baja con cuerda, flexionar codos separando los extremos de la cuerda al final"
"65","Bíceps","Curl concentrado (alternativo)","Intermedio","Mancuerna","(Variante) De pie, inclinar el torso y apoyar el codo contra el muslo por la parte interna, flexionar mancuerna"
"66","Bíceps","Curl en banco Scott (predicador)","Intermedio","Barra","Brazos apoyados sobre el banco Scott (predicador), flexión de codos controlada hasta contraer completamente el bíceps"
"67","Bíceps","Curl en máquina","Principiante","Máquina","Sentado en máquina de curl, flexionar los brazos contra la resistencia controlando el movimiento"
"68","Bíceps","Curl en polea baja","Intermedio","Cable","De pie frente a polea baja, agarre recto o barra Z, flexionar codos manteniendo tensión constante"
"69","Bíceps","Curl inclinado con mancuernas","Intermedio-Avanzado","Mancuernas","Sentado en banco inclinado ~45°, brazos colgando, flexionar codos sin mover la parte superior del brazo"
"70","Bíceps","Curl inverso","Intermedio","Barra","Agarre prono (palmas hacia abajo), flexionar codos trabajando más braquiorradial y antebrazo"
"71","Bíceps","Curl martillo con mancuernas","Principiante-Intermedio","Mancuernas","Agarre neutro (palmas enfrentadas), flexión alterna de codos manteniendo la posición de martillo"
"72","Bíceps","Curl overhead en polea alta","Avanzado","Cable","En poleas altas a los lados, brazos en cruz, flexionar codos llevando las manos hacia la cabeza"
"73","Bíceps","Curl con toalla y kettlebell","Avanzado","Kettlebell","Pasar una toalla por el asa de una kettlebell y sostener los extremos, hacer curl martillo (agarre neutro) tirando de la toalla"
"74","Bíceps","Drag curls","Avanzado","Barra","Hacer curl “arrastrando” la barra cerca del cuerpo, llevando los codos hacia atrás durante la subida"
"75","Bíceps","Zottman curls","Avanzado","Mancuernas","Curl alternando agarre: subir con supinación (palmas arriba), rotar muñecas en la cima, bajar en prono (palmas abajo)"
"76","Tríceps","Extensión de tríceps con banda","Principiante","Banda elástica","Banda anclada arriba, extender codos hacia abajo hasta completar el movimiento"
"77","Tríceps","Extensión de tríceps en banco inclinado","Intermedio","Mancuernas","Acostado en banco inclinado, brazos apuntando al techo, flexionar y extender codos llevando las mancuernas desde detrás de la cabeza hacia arriba"
"78","Tríceps","Extensión de tríceps en polea alta","Principiante","Cable","Codos pegados al cuerpo, extender completamente los brazos manteniendo la parte superior inmóvil"
"79","Tríceps","Extensión de tríceps tras nuca","Intermedio","Mancuerna","De pie o sentado, sujetar el peso por detrás de la cabeza con ambas manos, extender los codos verticalmente"
"80","Tríceps","Extensión en polea con cuerda","Principiante","Cable","Desde polea alta con cuerda, extender brazos hacia abajo y al final separar los extremos de la cuerda"
"81","Tríceps","Fondos en banco","Principiante-Intermedio","Peso corporal","Manos apoyadas en el borde de un banco detrás del cuerpo, piernas extendidas, flexionar codos hacia atrás bajando el cuerpo y extender para subir"
"82","Tríceps","Fondos en máquina","Principiante","Máquina","Ejercicio de fondos en paralelas asistido en máquina (contrapeso ayuda a subir)"
"83","Tríceps","Fondos en paralelas (dips)","Intermedio-Avanzado","Barra","Cuerpo vertical, agarrar barras paralelas, descender flexionando codos hacia atrás y empujar hasta extender brazos"
"84","Tríceps","Flexiones diamante","Intermedio-Avanzado","Peso corporal","Manos formando un diamante bajo el pecho, realizar flexiones enfatizando tríceps"
"85","Tríceps","Korean dips","Avanzado","Barra","Fondos en paralelas con el cuerpo inclinado hacia atrás y piernas hacia adelante (requiere gran flexibilidad de hombros)"
"86","Tríceps","Press JM","Avanzado","Barra","Variación de press de banca cerrado: bajar la barra hacia el cuello desplazando codos ligeramente hacia la cabeza, luego extender"
"87","Tríceps","Press de banca agarre cerrado","Intermedio","Barra","Acostado, agarre más estrecho que hombros, bajar barra al pecho manteniendo codos pegados al cuerpo, extender brazos"
"88","Tríceps","Press francés (skullcrusher)","Intermedio","Barra","Tumbado en banco, brazos perpendiculares al cuerpo, flexionar solo los codos llevando la barra hacia la frente, luego extender"
"89","Tríceps","Tate press","Intermedio","Mancuernas","Tumbado en banco, sostener mancuernas con palmas hacia adentro sobre el pecho, flexionar codos llevando mancuernas hacia los hombros y extender"
"90","Antebrazos","Colgarse de barra (dead hang)","Intermedio","Barra","Colgar del agarre de una barra el máximo tiempo posible (variantes: usando menos dedos, con peso adicional, etc.)"
"91","Antebrazos","Curl de muñeca con barra (flexores)","Principiante","Barra","Antebrazos apoyados en banco con palmas hacia arriba, dejar que la barra ruede hacia los dedos y luego flexionar muñecas elevando la barra"
"92","Antebrazos","Curl de muñeca inverso (extensores)","Principiante","Barra","Antebrazos apoyados con palmas hacia abajo, extender muñecas elevando el dorso de las manos"
"93","Antebrazos","Curl inverso con barra","Principiante","Barra","(Similar a curl de bíceps inverso) Agarre prono, flexionar codos trabajando braquiorradial"
"94","Antebrazos","Curl martillo con cuerda","Intermedio","Cable","Realizar curl martillo usando una cuerda en polea baja, lo que aumenta la activación de antebrazo"
"95","Antebrazos","Farmer's walk (caminata del granjero)","Intermedio","Mancuernas","Caminar sujetando pesas muy pesadas en cada mano, recorriendo la máxima distancia posible"
"96","Antebrazos","Flexión de dedos con barra","Avanzado","Barra","Con la barra en las manos, dejarla rodar hasta la punta de los dedos y luego cerrarlos para levantarla de nuevo (entrenar agarre)"
"97","Antebrazos","Plate pinch (pellizco de discos)","Intermedio-Avanzado","Disco","Tomar dos o más discos juntos pellizcándolos entre los dedos y el pulgar, y sostenerlos el mayor tiempo posible"
"98","Antebrazos","Towel pull-ups","Avanzado","Barra","Colgar dos toallas de una barra y agarrarlas para hacer dominadas, lo que incrementa la dificultad en el agarre"
"99","Antebrazos","Wrist roller (enrollador de muñeca)","Intermedio-Avanzado","Barra","Enrollar una cuerda con peso colgante usando solo el movimiento de las muñecas (flexión y extensión)"
"100","Cuádriceps","Box squats","Intermedio","Barra","Sentadilla hasta sentarse ligeramente en una caja y volver a subir, controlando la posición baja"
"101","Cuádriceps","Prensa de piernas","Principiante","Máquina","Sentado en máquina de prensa, empujar la plataforma con los pies sin bloquear las rodillas al extender"
"102","Cuádriceps","Sentadilla (squat) con pausa","Avanzado","Barra","Sentadilla convencional pero deteniéndose 2-3 segundos en la posición baja antes de subir"
"103","Cuádriceps","Sentadilla búlgara","Intermedio","Mancuernas","Pie trasero apoyado en un banco, descender flexionando la rodilla delantera manteniendo el torso erguido"
"104","Cuádriceps","Sentadilla frontal","Intermedio-Avanzado","Barra","Barra apoyada en la parte frontal de los hombros (agarre cruzado o de fuerza), mantener codos altos, descender en sentadilla manteniendo torso vertical"
"105","Cuádriceps","Sentadilla goblet","Principiante","Kettlebell","Sostener un kettlebell o mancuerna frente al pecho con ambas manos, realizar sentadilla profunda"
"106","Cuádriceps","Sentadilla hack","Intermedio","Máquina","En máquina hack squat, pies al ancho de hombros, descender flexionando rodillas controladamente y empujar de nuevo hacia arriba"
"107","Cuádriceps","Sentadilla sissy","Avanzado","Peso corporal","De pie apoyándose en un soporte, plantar pies y elevar talones, luego flexionar rodillas llevando el cuerpo hacia atrás (cuádriceps en máxima tensión)"
"108","Cuádriceps","Sentadilla trasera (Back squat)","Principiante-Avanzado","Barra","Barra apoyada en la espalda alta (trapecios), descender en sentadilla hasta romper la paralela, subir de forma explosiva"
"109","Cuádriceps","Sentadillas (bodyweight squats)","Principiante","Peso corporal","De pie, descender en sentadilla (muslos al menos paralelos al piso) y volver a subir extendiendo rodillas y caderas"
